Time [s],4RS Heat flux [W],4AS Heat flux [W]
,,
0,50,50
,,
1,60,60
,,
2,80,720
,,
3,100,1753.333333
,,
4,120,3206.666667
,,
5,140,4526.666667
,,
6,366.6666667,5633.333333
,,
7,1113.333333,6666.666667
,,
8,2393.333333,7753.333333
,,
9,3680,8720
,,
10,4760,9533.333333
,,
11,5613.333333,10013.33333
,,
12,6253.333333,10453.33333
,,
13,6686.666667,10700
,,
14,7106.666667,10720
,,
15,7526.666667,10740
,,
16,7840,10760
,,
17,8173.333333,10780
,,
18,8506.666667,10800
,,
19,8840,10820
,,
20,8986.666667,10840
,,
21,9133.333333,10860
,,
22,9280,10880
,,
23,9326.666667,11060
,,
24,9373.333333,11240
,,
25,9420,11420
,,
26,9440,11440
,,
27,9460,11460
,,
28,9480,11480
,,
29,9500,11500
,,
30,9520,11520
,,
31,9540,11540
,,
32,9560,11633.33333
,,
33,9580,11840
,,
34,9600,12206.66667
,,
35,9620,12873.33333
,,
36,9640,13426.66667
,,
37,9660,13820
,,
38,9680,13940
,,
39,9700,14080
,,
40,9840,14506.66667
,,
41,10493.33333,15486.66667
,,
42,11213.33333,16446.66667
,,
43,11973.33333,17266.66667
,,
44,12753.33333,18273.33333
,,
45,13466.66667,19280
,,
46,14253.33333,20586.66667
,,
47,15206.66667,21986.66667
,,
48,16160,23386.66667
,,
49,17000,24340
,,
50,17820,25126.66667
,,
51,18640,25913.33333
,,
52,19340,26700
,,
53,19633.33333,27093.33333
,,
54,19926.66667,27486.66667
,,
55,20220,27880
,,
56,20686.66667,28500
,,
57,21153.33333,29120
,,
58,21620,29740
,,
59,21953.33333,30126.66667
,,
60,22286.66667,30513.33333
,,
61,22620,30900
,,
62,22640,30920
,,
63,22660,30940
,,
64,22680,30838.66667
,,
65,22700,30238
,,
66,22715.33333,28671.33333
,,
67,22427.33333,27221.33333
,,
68,22134.66667,26270.66667
,,
69,21842,26286
,,
70,21848,26306
,,
71,21858.66667,27139.33333
,,
72,21874,28079.33333
,,
73,21894,29459.33333
,,
74,22207.33333,30979.33333
,,
75,22727.33333,32392.66667
,,
76,23720.66667,33366
,,
77,25560.66667,33932.66667
,,
78,27194,34499.33333
,,
79,28354,35092.66667
,,
80,29120.66667,36019.33333
,,
81,29887.33333,36946
,,
82,30654,37846
,,
83,31894,39946
,,
84,33574,42646
,,
85,36847.33333,47432.66667
,,
86,41527.33333,53526
,,
87,45947.33333,59172.66667
,,
88,49780.66667,63819.33333
,,
89,52994,67346
,,
90,56027.33333,70719.33333
,,
91,58054,73006
,,
92,59707.33333,73206
,,
93,61360.66667,73406
,,
94,63014,73606
,,
95,63454,73626
,,
96,63894,73333.33333
,,
97,64334,71444.66667
,,
98,64354,69551.33333
,,
99,63118.66667,65987.33333
,,
100,60791.33333,63048.66667
,,
101,58459.33333,60110
,,
102,56426,58020.66667
,,
103,54803.33333,56262.66667
,,
104,53185.33333,54509.33333
,,
105,52426,53885.33333
,,
106,52343.33333,53900.66667
,,
107,52260.66667,55536
,,
108,52916,57956
,,
109,55502.66667,62589.33333
,,
110,62082.66667,70189.33333
,,
111,68662.66667,77862.66667
,,
112,75909.33333,86562.66667
,,
113,83962.66667,96336
,,
114,91509.33333,105396
,,
115,98582.66667,113529.3333
,,
116,105622.6667,121069.3333
,,
117,112529.3333,128469.3333
,,
118,118556,133996
,,
119,125476,140276
,,
120,132396,146556
,,
121,140562.6667,153956
,,
122,149856,162309.3333
,,
123,159149.3333,170662.6667
,,
124,168082.6667,178229.3333
,,
125,178216,187002.6667
,,
126,188349.3333,195776
,,
127,200282.6667,206416
,,
128,213642.6667,217996
,,
129,227002.6667,229576
,,
130,237629.3333,238682.6667
,,
131,248016,247036
,,
132,258398,255165.3333
,,
133,268086.6667,263128
,,
134,278075.3333,269890.6667
,,
135,286706,275402.6667
,,
136,293576.6667,278488
,,
137,292867.3333,274860
,,
138,289717.3333,268950
,,
139,283632,262097.3333
,,
140,275653.3333,254991.3333
,,
141,263120,242808
,,
142,249564.6667,225645.3333
,,
143,230941.3333,206429.3333
,,
144,210801.3333,188697.3333
,,
145,187460,172598.6667
,,
146,162807.3333,148692.6667
,,
147,139998,119980
,,
148,117282,89494
,,
149,92144,58737.33333
,,
150,65937.33333,29096
,,
151,36398.66667,-9603.333333
,,
152,4396,-41494
,,
153,-23229.33333,-62390
,,
154,-43308.66667,-76897.33333
,,
155,-58642,-95436.66667
,,
156,-72323.33333,-110996
,,
157,-87157.33333,-107070.6667
,,
158,-101790.6667,-94404
,,
159,-113358,-83464
,,
160,-121024,-82778
,,
161,-125778,-91155.33333
,,
162,-130100.6667,-101504.6667
,,
163,-131134,-112535.3333
,,
164,-128760.6667,-120098.6667
,,
165,-124400.6667,-126896.6667
,,
166,-120700.6667,-129966
,,
167,-117000.6667,-128466
,,
168,-115647.3333,-122386
,,
169,-114714,-115452.6667
,,
170,-113785.3333,-108879.3333
,,
171,-112923.3333,-106859.3333
,,
172,-112168,-106026
,,
173,-111408,-105192.6667
,,
174,-108508,-103419.3333
,,
175,-104808,-101546
,,
176,-101108,-99672.66667
,,
177,-98174.66667,-98306
,,
178,-95668,-96279.33333
,,
179,-93161.33333,-94252.66667
,,
180,-91268,-90859.33333
,,
181,-89361.33333,-88179.33333
,,
182,-87454.66667,-85499.33333
,,
183,-85594.66667,-84459.33333
,,
184,-83521.33333,-82952.66667
,,
185,-81448,-81446
,,
186,-78614.66667,-79039.33333
,,
187,-75974.66667,-76886
,,
188,-73334.66667,-74732.66667
,,
189,-71214.66667,-72972.66667
,,
190,-69268,-71152.66667
,,
191,-67321.33333,-69332.66667
,,
192,-65361.33333,-66846
,,
193,-63694.66667,-64726
,,
194,-62028,-62606
,,
195,-60448,-61139.33333
,,
196,-58561.33333,-59459.33333
,,
197,-56674.66667,-57779.33333
,,
198,-54841.33333,-55879.33333
,,
199,-53254.66667,-54232.66667
,,
200,-51668,-52586
,,
201,-50134.66667,-51119.33333
,,
202,-48701.33333,-49886
,,
203,-47276.06667,-48660.73333
,,
204,-46630.8,-48188.8
,,
205,-46632.2,-48190.2
,,
206,-46632.2,-48190.2
