Time [s],Heat flux [W],,,
,,,Time,experiment heatflux
0,-2,0,0,1.3009
20,-2,0,3.189,1.1495
40,-2,0,4.239,1.154
60,-2,0,5.291,1.2747
80,18,0,6.342,1.2633
100,18,0,7.397,1.2405
120,18,0,8.449,1.1358
140,10,0,9.505,1.2815
160,10,0,10.558,1.1426
180,10,0,11.614,1.0994
200,10,0,12.666,1.2337
220,10,0,13.72,1.2451
240,2,0,14.772,1.1199
260,2,0,15.824,1.2041
280,2,0,16.876,1.286
300,2,0,17.929,1.1131
320,2,0,18.982,1.1836
340,2,0,20.036,1.2382
360,2,0,21.089,1.1426
380,2,0,22.144,1.2314
400,2,0,23.196,1.2314
420,2,0,24.261,1.22
440,-6,0,25.324,1.1039
460,34,0,26.394,1.2087
480,186,0,27.469,1.2496
500,478,0,28.532,1.2656
520,790,0,29.599,1.2041
540,1070,0,30.664,1.1973
560,1270,0,31.716,1.2337
580,1410,0,32.782,1.2906
600,1490,0,33.838,1.3179
620,1530,0,34.895,1.2382
640,1542,0,35.951,1.2269
660,1582,0,37.005,1.2064
680,1574,0,38.062,1.1563
700,1566,0,39.115,1.2474
720,1544,0,40.171,1.236
740,1522,0,41.245,1.1631
760,1486,0,42.299,1.1017
780,1464,0,43.373,1.2337
800,1442,0,44.433,1.1631
820,1434,0,45.491,1.2087
840,1398,0,46.565,1.2314
860,1390,0,47.619,1.2246
880,1354,0,48.676,1.1517
900,1276,0,49.741,1.1768
920,1030,0,50.807,1.3043
940,728,0,51.867,1.2223
960,398,0,52.936,1.2018
980,96,0,54.006,1.2587
1000,-108,0,55.075,1.0607
1020,-270,0,56.146,1.2041
1040,-348,0,57.198,1.2519
1060,-440,0,58.269,1.2496
1080,-476,0,59.345,1.1927
1100,-498,0,60.415,1.2087
1120,-520,0,61.485,1.2724
1140,-542,0,62.54,1.0516
1160,-522,0,63.613,1.1813
1180,-544,0,64.665,1.2565
1200,-504,0,65.717,1.2428
1220,-512,0,66.787,1.1813
1240,-500,0,67.846,1.1199
1260,-460,0,68.915,1.2155
1280,-482,0,69.984,1.1768
1300,-462,0,71.055,1.0152
1320,-470,0,72.123,1.1722
1340,-458,0,73.192,1.17
1360,-418,0,74.258,1.1836
1380,-426,0,75.326,1.0698
1400,-406,0,76.395,1.1973
1420,-414,0,77.447,1.2087
1440,-402,0,78.52,1.154
1460,-390,0,79.59,1.1996
1480,-370,0,80.66,1.2041
1500,-378,0,81.733,1.1836
1520,-338,0,82.803,1.2815
1540,-360,0,83.874,1.1904
1560,-320,0,84.941,1.2724
1580,-342,0,86.012,1.1904
1600,-330,0,87.063,1.1677
1620,-310,0,88.132,1.2815
1640,-318,0,89.203,1.2064
1660,-298,0,90.271,1.129
1680,-306,0,91.346,1.1335
1700,-294,0,92.399,1.2405
1720,-274,0,93.471,1.2109
1740,-282,0,94.523,1.2428
1760,-262,0,95.582,1.1176
1780,-270,0,96.646,1.2451
1800,-258,0,97.7,1.1313
1820,-246,0,98.757,1.2405
1840,-226,0,99.818,1.2792
1860,-234,0,100.883,1.1017
1880,-214,0,101.935,1.3225
1900,-222,0,103.013,1.0015
1920,-202,0,104.086,1.2405
1940,-224,0,105.162,1.1335
1960,-184,0,106.233,1.2314
1980,-192,0,107.286,1.1813
2000,-200,0,108.357,1.2337
2020,-180,0,109.434,1.1495
2040,-188,0,110.505,1.2018
2060,-168,0,111.577,1.2018
2080,-176,0,112.643,1.2678
2100,-156,0,113.72,1.2086
2120,-156,0,114.778,1.1836
2140,-164,0,115.845,1.2223
2160,-144,0,116.904,1.2792
2180,-152,0,117.955,1.1791
2200,-132,0,119.027,1.302
2220,-154,0,120.096,1.2086
2240,-134,0,121.157,1.236
2260,-114,0,122.208,1.1995
2280,-136,0,123.279,1.2018
2300,-144,0,124.336,1.1722
2320,-104,0,125.408,1.1449
2340,-126,0,126.483,1.1222
2360,-106,0,127.541,1.1426
2380,-114,0,128.611,1.129
2400,-114,0,129.677,1.2087
2420,-94,0,130.737,1.1176
2440,-116,0,131.797,1.1995
2460,-96,0,132.865,1.1995
2480,-104,0,133.938,1.2064
2500,-104,0,135.001,1.2633
2520,-84,0,136.069,1.2109
2540,-84,0,137.141,1.1586
2560,-84,0,138.202,1.1631
2580,-92,0,139.257,1.1404
2600,-92,0,140.334,1.1563
2620,-72,0,141.395,1.1404
2640,-72,0,142.445,1.2018
2660,-72,0,143.519,1.2018
2680,-72,0,144.594,1.1199
2700,-72,0,145.654,1.1108
2720,-72,0,146.711,1.1813
2740,-72,0,147.785,1.1745
2760,-72,0,148.838,1.2086
2780,0,0,149.907,1.1608
2800,240,0,150.97,1.1859
2820,540,0,152.024,1.2291
2840,840,0,153.095,1.1745
2860,1120,0,154.168,1.1221
2880,1292,0,155.238,1.0971
2900,1452,0,156.291,1.1995
2920,1532,0,157.344,1.1791
2940,1564,0,158.398,1.1563
2960,1624,0,159.458,1.2519
2980,1616,0,160.529,1.2109
3000,1608,0,161.592,0.9742
3020,1600,0,162.658,1.1631
3040,1592,0,163.712,1.0402
3060,1584,0,164.773,1.2428
3080,1562,0,165.843,1.129
3100,1526,0,166.902,1.1017
3120,1504,0,167.953,1.1745
3140,1384,0,169.022,1.1472
3160,1138,0,170.092,1.1813
3180,794,0,171.162,1.1563
3200,464,0,172.214,1.2382
3220,190,0,173.282,1.2838
3240,-28,0,174.349,1.1244
3260,-176,0,175.418,1.1062
3280,-296,0,176.489,1.1472
3300,-346,0,177.54,1.2246
3320,-410,0,178.595,1.2291
3340,-432,0,179.665,1.3225
3360,-454,0,180.733,1.1836
3380,-462,0,181.793,1.1221
3400,-442,0,182.862,1.1813
3420,-450,0,183.931,1.1631
3440,-458,0,185.003,1.0903
3460,-438,0,186.081,1.0243
3480,-446,0,187.133,0.849
3500,-426,0,188.187,0.7329
3520,-434,0,189.246,0.8262
