Time,HeatFlux,T_amb,Temperature
0,200.0,21,21
1,200.0,21.0,21.0
2,200.0,21.0,21.0
3,200.0,21.0,21.0
4,200.0,21.0,21.0
5,200.0,21.0,21.0
6,200.0,21.0,21.0
7,200.0,21.0,21.0
8,200.0,21.0,21.0
9,200.0,21.0,21.0
10,200.0,21.0,21.0
11,200.0,21.0,21.0
12,200.0,21.0,21.0
13,200.0,21.0,21.0
14,200.0,21.0,21.0
15,200.0,21.0,21.0
16,200.0,21.0,21.0
17,200.0,21.0,21.0
18,200.0,21.0,21.0
19,200.0,21.0,21.0
20,200.0,21.0,21.0
21,200.0,21.0,21.0
22,200.0,21.0,21.0
23,200.0,21.0,21.0
24,200.0,21.0,21.0
25,200.0,21.0,21.0
26,200.0,21.0,21.0
27,200.0,21.0,21.0
28,200.0,21.0,21.0
29,200.0,21.0,21.0
30,200.0,21.0,21.0
31,200.0,21.0,21.0
32,200.0,21.0,21.0
33,200.0,21.0,21.0
34,200.0,21.0,21.0
35,200.0,21.0,21.0
36,200.0,21.0,21.0
37,200.0,21.0,21.0
38,200.0,21.0,21.0
39,200.0,21.0,21.0
40,200.0,21.0,21.0
41,200.0,21.0,21.0
42,200.0,21.0,21.0
43,200.0,21.0,21.0
44,200.0,21.0,21.0
45,200.0,21.0,21.0
46,200.0,21.0,21.0
47,200.0,21.0,21.0
48,200.0,21.0,21.0
49,200.0,21.0,21.0
50,200.0,21.0,21.0
51,200.0,21.0,21.0
52,200.0,21.0,21.0
53,200.0,21.0,21.0
54,200.0,21.0,21.0
55,200.0,21.0,21.0
56,200.0,21.0,21.0
57,200.0,21.0,21.0
58,200.0,21.0,21.0
59,200.0,21.0,21.0
60,200.0,21.0,21.0
61,200.0,21.0,21.0
62,200.0,21.0,21.0
63,200.0,21.0,21.0
64,200.0,21.0,21.0
65,200.0,21.0,21.0
66,200.0,21.0,21.0
67,200.0,21.0,21.0
68,200.0,21.0,21.0
69,200.0,21.0,21.0
70,200.0,21.0,21.0
71,200.0,21.0,21.0
72,200.0,21.0,21.0
73,200.0,21.0,21.0
74,0.0,21.0,21.0
75,0.0,21.0,21.0
76,0.0,21.0,21.0
77,0.0,21.0,21.0
78,0.0,21.0,21.0
79,0.0,21.0,21.0
80,0.0,21.0,21.0
81,0.0,21.0,21.0
82,0.0,21.0,21.0
83,0.0,21.0,21.0
84,0.0,21.0,21.0
85,0.0,21.0,21.0
86,0.0,21.0,21.0
87,0.0,21.0,21.0
88,0.0,21.0,21.0
89,0.0,21.0,21.0
90,0.0,21.0,21.0
91,0.0,21.0,21.0
92,0.0,21.0,21.0
93,0.0,21.0,21.0
94,0.0,21.0,21.0
95,0.0,21.0,21.0
96,0.0,21.0,21.0
97,0.0,21.0,21.0
98,0.0,21.0,21.0
99,0.0,21.0,21.0
100,0.0,21.0,21.0
101,0.0,21.0,21.0
102,0.0,21.0,21.0
103,0.0,21.0,21.0
104,0.0,21.0,21.0
105,0.0,21.0,21.0
106,0.0,21.0,21.0
107,0.0,21.0,21.0
108,0.0,21.0,21.0
109,0.0,21.0,21.0
110,0.0,21.0,21.0
111,0.0,21.0,21.0
112,0.0,21.0,21.0
113,0.0,21.0,21.0
114,0.0,21.0,21.0
115,0.0,21.0,21.0
116,0.0,21.0,21.0
117,0.0,21.0,21.0
118,0.0,21.0,21.0
119,0.0,21.0,21.0
120,0.0,21.0,21.0
121,0.0,21.0,21.0
122,0.0,21.0,21.0
123,0.0,21.0,21.0
124,0.0,21.0,21.0
125,0.0,21.0,21.0
126,0.0,21.0,21.0
127,0.0,21.0,21.0
128,0.0,21.0,21.0
129,0.0,21.0,21.0
130,0.0,21.0,21.0
131,0.0,21.0,21.0
132,0.0,21.0,21.0
133,0.0,21.0,21.0
134,0.0,21.0,21.0
135,0.0,21.0,21.0
136,0.0,21.0,21.0
